# Originally 197 with B and T (13 invited)
#  -> 197 * 4 + 13 * 8 = 892 pages, 800 is the max
# Total: 169 
# Final: 161 = 10 I + 31 O + 105 P    [790 pages]   82%
# Draft:   0 =  0 I +  0 O +   1 P
# Blank:   6 =  0 I +  1 O +   1 P
#
# tagnames in this file and script processor
# in final_count:  set editors = (PJT MWP ok EMW BAT PHOTO)
#
Navarro, Vicente                  ; P5-14    finalp v5                 EMW h
Nebot				  ; I8-1     finalp v1                 EMW          PHOTO
###Nie, Jianyin                   ; P10-9    # 
Nieto, Sara                       ; P10-10   finalp v8                 EMW ok
Nikolic				  ; O1-2     finalp v2                 EMW ok
Noumaru, Junichi                  ; P13-11   finalp v1                 EMW ok
##Oloketuyi, Jacob                ; P7-5     #
O'Toole, Simon			  ; O10-5    finalp                    EMW ok            full page PHOTO
Paillassa, Maxime                 ; P1-10    finalp v2                 EMW ok
##Parra, Jose                     ; P10-11   # no time
Pascual, Sergio                   ; P4-13    finalp v2                 EMW ok
Patterson, Gerald                 ; P13-12   finalp v2 copy            BAT ok
Paxson, Charles                   ; P6-9     finalp v3 copy            EMW ok        1/4 PHOTO?
Perea-Calderon, Jose Vicente      ; P4-14    finalp v2 copy            MWP ok        1/2 PHOTO
Perez, Fernando                   ; P6-10    finalp v4 copy            BAT ok
Pineau, Francois-Xavier           ; P13-13   finalp v2                 BAT ok
Plante				  ; I11-1    finalp v4 copy            EMW ok
Polisensky, Emil                  ; P10-12   finalp v2 copy            EMW ok
##NOPAPER Prix, Reinhard          ; P12-12   #
Racero				  ; O7-1     finalp v5 copy            EMW ok              UTF-8
#Raddick         		  ; F2       #         sent email; email again dec 17; jan 9
Ramirez				  ; O3-3     finalp v3                 EMW ok
Raugh				  ; O7-2     finalp v2 copy            EMW ok   2/3 PHOTO
Renil, Rosly                      ; P4-15    finalp v2                 EMW ok
##Reustle, Alexander              ; P6-11    #
##Roby, Trey                      ; P3-7     # 
Romelli, Erik                     ; P4-16    finalp v2 copy            EMW ok
Rubtsov, Evgenii                  ; P5-15    finalp v4                 BAT ok
