O3-4    HV   Final2 ok ; Sosey; Sosey, Megan; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-4-5dbc6412180a05-17767179.tar.gz; 
O3-5    HV   Final2 ok ; Wu; Wu, Xiuqin; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-5-5dbf7dcee628f2-85306048.tar.gz; 
O3-6    HV   Final2 ok ; Grange; Grange, Yan; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-6-5dbb01f46d7370-20221926.tar.gz; 
O3-7    HV   Final2 ok ; Mink; Mink, Jessica; ;
O3-8    ED   Final Missing publication concent ; Noel; Noel, Jake; ;
O4-2    ED   Final2 ok ; Zhang; Zhang, Yanxia; https://www.adass2019.nl/wp-content/uploads/adass-proc/O4-2-5d8c80e7e780b2-01452986.zip; 
O4-3    ED   Final2 ok ; Singh; Singh, Sweta; https://www.adass2019.nl/wp-content/uploads/adass-proc/O4-3-5d91d15eea2d39-75924367.zip; 
O4-4    ED   Final2 ok ; Surana; Surana, Shraddha; https://www.adass2019.nl/wp-content/uploads/adass-proc/O4-4-5dbc2ec34a7f21-39793132.zip; 
O5-2    JDP  Final2 ok ; Berriman; Berriman, Bruce; https://www.adass2019.nl/wp-content/uploads/adass-proc/O5-2-5db752acaf81f6-40951783.tar; 
O5-3    JDP  Final Figure 1 images too small. Author contacted. See Github issue https://github.com/astroumd/ADASSProceedings2019/issues/8 ; Verkouter; Verkouter, Harro; https://www.adass2019.nl/wp-content/uploads/adass-proc/O5-3-5da9a6ced85ad1-27944412.tar.gz; 
O5-4    JDP  Final2 ok ; Roby; Roby, William ; https://www.adass2019.nl/wp-content/uploads/adass-proc/O5-4-5d911708f338f1-77997797.tar.gz; 
O5-5    JDP  Final2 ok ; Note there are unfinished references to other papers in this volume! See Github issue https://github.com/astroumd/ADASSProceedings2019/issues/9 ; Marchetti; Marchetti, Lucia; https://www.adass2019.nl/wp-content/uploads/adass-proc/O5-5-5dbb064eefa693-06897474.tar.gz; 
O5-6    JDP  Final2 ok ; Goldina; Goldina, Tatiana; https://www.adass2019.nl/wp-content/uploads/adass-proc/O5-6-5dbb837e6816c9-45776159.tar.gz; 
O6-2    HV   Final2 ok ; Navarro; Navarro, Vicente; https://www.adass2019.nl/wp-content/uploads/adass-proc/O6-2-5d92084b55f093-33998773.zip; 
O6-4    HV   Final2 ok ; Williams; Williams, Rees; https://www.adass2019.nl/wp-content/uploads/adass-proc/O6-4-5d91f11153f073-34543370.tar; 
O7-2    HV   Final2 ok ; Pizzo; Pizzo, Roberto; https://www.adass2019.nl/wp-content/uploads/adass-proc/O7-2-5dbc0d9fe9e887-50564346.tar.gz; 
O7-3    HV   Final2 ok ; Moss; Moss, Vanessa; https://www.adass2019.nl/wp-content/uploads/adass-proc/O7-3-5d91fa6b70cd12-87385045.zip; 
O7-5    HV   Final2 ok ; Schartner; Schartner, Matthias; https://www.adass2019.nl/wp-content/uploads/adass-proc/O7-5-5d88b1ff0562c3-05927077.zip; 
O7-6    HV   Final2 ok ; Sciacca; Sciacca, Eva; https://www.adass2019.nl/wp-content/uploads/adass-proc/O7-6-5db17f2a867352-72816708.zip; 
O7-7    HV   Final2 ok ; Arrabito; Arrabito, Luisa; https://www.adass2019.nl/wp-content/uploads/adass-proc/O7-7-5db860a601e346-67505526.tar.gz; 
O8-2    HV   Final2 ok ; Galkin; Galkin, Anastasia; https://www.adass2019.nl/wp-content/uploads/adass-proc/O8-2-5d91f86c485267-85210774.tar; 
O8-3    HV   Final2 ok ; Weijmans; Weijmans, Anne-Marie; https://www.adass2019.nl/wp-content/uploads/adass-proc/O8-3-5dbcb4afe7b3f4-87830887.tar; 
O8-4    HV   Final2 ok ; Hern{\'a}ndez Fuertes; Hern{\'a}ndez Fuertes, Javier; https://www.adass2019.nl/wp-content/uploads/adass-proc/O8-4-5d8b49f5a8a5c3-00148281.tar.gz; 
O9-3    JDP  Final2 ok (Note: paper is short. Affiliation is web address.) ; Molenaar; Molenaar, Gijs; https://www.adass2019.nl/wp-content/uploads/adass-proc/O9-3-5d8a36e2175fb7-48546860.tar.gz; 
O9-4    JDP  Final2 ok (Author provided better figure, see Github issue https://github.com/astroumd/ADASSProceedings2019/issues/10 ). ; Malenta; Malenta, Mateusz; https://www.adass2019.nl/wp-content/uploads/adass-proc/O9-4-5d925f251dd9c0-70709067.tar.gz; 
O9-5    JDP  Final2 ok (Note: there are unfinished references to other papers in this volume, see Github issue https://github.com/astroumd/ADASSProceedings2019/issues/12 ) ; Bertin; Bertin, Emmanuel; https://www.adass2019.nl/wp-content/uploads/adass-proc/O9-5-5dbb5e0cc7bf29-49093791.tar.gz; 
P10-10  RP   Final2 ok ; Shipman; Shipman, Russell; https://www.adass2019.nl/wp-content/uploads/adass-proc/P10-10-5dbc9dab7bf9b9-38756747.tar; 
P10-12  RP   Final2 ok ; Chalevin; Chalevin, Alexandros; https://www.adass2019.nl/wp-content/uploads/adass-proc/P10-12-5d8f54c36a7b45-07005751.tar.gz; 
P10-13  RP   Final2 ok ; Zhu; Zhu, Meng; https://www.adass2019.nl/wp-content/uploads/adass-proc/P10-13-5dbacf85087945-51811637.zip; 
P10-14  RP   Final2 ok ; Balbay; Balbay, Recep; https://www.adass2019.nl/wp-content/uploads/adass-proc/P10-14-5d8a179f578b56-46896345.zip; 
P10-15  RP   Final2 ok ; Kent; Kent, Brian; https://www.adass2019.nl/wp-content/uploads/adass-proc/P10-15-5dbca39ad8d047-72878325.tar.gz; 
